iter	Passed	Remaining
406	4594	6694
407	4604	6681
408	4614	6667
409	4623	6653
410	4633	6640
411	4643	6626
412	4653	6614
413	4663	6600
414	4672	6586
415	4683	6574
416	4692	6560
417	4701	6546
418	4712	6534
419	4722	6521
420	4731	6507
421	4741	6493
422	4750	6480
423	4760	6466
424	4769	6453
425	4779	6440
426	4790	6428
427	4800	6415
428	4809	6401
429	4818	6387
430	4831	6377
431	4841	6366
432	4850	6351
433	4859	6337
434	4869	6325
435	4879	6311
436	4888	6298
437	4899	6286
438	4909	6273
439	4919	6260
440	4928	6247
441	4938	6234
442	4949	6222
443	4959	6210
444	4970	6198
445	4979	6184
446	4989	6172
447	4999	6159
448	5008	6146
449	5018	6134
450	5028	6121
451	5037	6107
452	5046	6094
453	5057	6081
454	5067	6069
455	5076	6056
456	5087	6045
457	5096	6031
458	5106	6019
459	5117	6007
460	5127	5994
461	5136	5980
462	5145	5968
463	5156	5956
464	5166	5944
465	5177	5932
466	5187	5920
467	5196	5907
468	5207	5895
469	5217	5883
470	5229	5873
471	5239	5860
472	5249	5848
473	5259	5836
474	5268	5823
475	5278	5810
476	5288	5798
477	5297	5785
478	5307	5772
479	5317	5760
480	5326	5747
481	5335	5734
482	5345	5721
483	5354	5708
484	5365	5697
485	5375	5684
486	5384	5672
487	5394	5659
488	5403	5646
489	5412	5633
490	5437	5636
491	5446	5623
492	5455	5610
493	5464	5596
494	5473	5583
495	5482	5570
496	5490	5557
497	5500	5544
498	5510	5532
499	5520	5520
500	5530	5508
501	5539	5495
502	5549	5483
503	5557	5469
504	5567	5457
505	5576	5444
506	5585	5431
507	5595	5418
508	5604	5406
509	5614	5394
510	5624	5382
511	5633	5369
512	5643	5357
513	5653	5345
514	5662	5332
515	5671	5319
516	5680	5307
517	5690	5294
518	5699	5282
519	5709	5270
520	5718	5257
521	5727	5245
522	5737	5232
523	5746	5219
524	5755	5207
525	5764	5195
526	5773	5182
527	5782	5169
528	5791	5156
529	5800	5143
530	5810	5131
531	5820	5120
532	5829	5108
533	5839	5095
534	5848	5083
535	5858	5071
536	5868	5059
537	5878	5047
538	5887	5035
539	5896	5022
540	5905	5010
541	5914	4998
542	5923	4985
543	5933	4973
544	5942	4961
545	5951	4949
546	5961	4936
547	5970	4924
548	5982	4914
549	5991	4902
550	6001	4890
551	6011	4879
552	6023	4869
553	6033	4857
554	6044	4846
555	6054	4835
556	6065	4823
557	6074	4811
558	6083	4799
559	6093	4787
560	6103	4775
561	6113	4764
562	6122	4752
563	6132	4740
564	6143	4729
565	6153	4718
566	6162	4705
567	6171	4693
568	6180	4681
569	6190	4670
570	6200	4658
571	6210	4646
572	6220	4635
573	6231	4624
574	6242	4613
575	6251	4601
576	6261	4590
577	6271	4578
578	6280	4566
579	6289	4554
580	6299	4542
581	6307	4530
582	6316	4518
583	6326	4506
584	6335	4494
585	6344	4482
586	6353	4470
587	6362	4458
588	6371	4446
589	6382	4435
590	6391	4423
591	6401	4412
592	6410	4400
593	6419	4388
594	6430	4377
595	6442	4367
596	6451	4354
597	6460	4343
598	6470	4331
599	6479	4319
600	6489	4308
601	6499	4296
602	6508	4285
603	6519	4274
604	6528	4262
605	6538	4251
606	6549	4240
607	6559	4229
608	6569	4217
609	6578	4206
610	6588	4194
611	6598	4183
612	6608	4171
613	6618	4160
614	6630	4150
615	6641	4140
616	6651	4128
617	6661	4117
618	6671	4106
619	6679	4094
620	6689	4082
621	6699	4071
622	6708	4059
623	6718	4048
624	6728	4037
625	6738	4025
626	6748	4014
627	6759	4004
628	6770	3993
629	6780	3982
630	6790	3971
631	6800	3959
632	6810	3948
633	6820	3937
634	6830	3926
635	6839	3914
636	6849	3903
637	6859	3892
638	6868	3880
639	6878	3869
640	6889	3858
641	6902	3849
642	6913	3838
643	6926	3829
644	6944	3822
645	6966	3817
646	6977	3807
647	6987	3795
648	6997	3784
649	7007	3773
650	7016	3761
651	7028	3751
652	7037	3739
653	7047	3728
654	7057	3717
655	7071	3708
656	7082	3697
657	7094	3687
658	7108	3678
659	7123	3669
660	7137	3660
661	7149	3650
662	7159	3638
663	7170	3628
664	7182	3618
665	7192	3606
666	7201	3595
667	7213	3585
668	7226	3575
669	7239	3565
670	7250	3555
671	7265	3546
672	7278	3536
673	7289	3525
674	7301	3515
675	7310	3504
676	7320	3492
677	7330	3481
678	7339	3469
679	7351	3459
680	7362	3448
681	7373	3438
682	7385	3428
683	7397	3417
684	7412	3408
685	7424	3398
686	7437	3388
687	7450	3378
688	7461	3367
689	7471	3356
690	7482	3345
691	7492	3334
692	7501	3323
693	7510	3311
694	7520	3300
695	7529	3288
696	7538	3277
697	7549	3266
698	7564	3257
699	7577	3247
700	7592	3238
701	7605	3228
702	7619	3218
703	7631	3208
704	7644	3198
705	7655	3188
706	7666	3177
707	7675	3165
708	7686	3154
709	7696	3143
710	7706	3132
711	7718	3122
712	7730	3111
713	7742	3101
714	7756	3091
715	7770	3082
716	7785	3072
717	7796	3062
718	7809	3052
719	7818	3040
720	7829	3029
721	7838	3018
722	7847	3006
723	7857	2995
724	7866	2983
725	7877	2972
726	7888	2962
727	7899	2951
728	7910	2940
729	7924	2930
730	7937	2920
731	7951	2911
732	7965	2901
733	7977	2891
734	7987	2879
735	7996	2868
736	8005	2856
737	8016	2845
738	8025	2834
739	8037	2824
740	8050	2813
741	8062	2803
742	8075	2793
743	8089	2783
744	8102	2773
745	8113	2762
746	8124	2751
747	8133	2740
748	8143	2728
749	8152	2717
750	8161	2706
751	8171	2694
752	8181	2683
753	8195	2673
754	8206	2663
755	8220	2653
756	8235	2643
757	8248	2633
758	8261	2623
759	8273	2612
760	8284	2601
761	8294	2590
762	8304	2579
763	8313	2568
764	8323	2556
765	8333	2545
766	8347	2535
767	8358	2525
768	8375	2515
769	8386	2505
770	8401	2495
771	8413	2484
772	8426	2474
773	8438	2463
774	8446	2452
775	8456	2440
776	8465	2429
777	8474	2418
778	8484	2407
779	8496	2396
780	8508	2385
781	8520	2375
782	8532	2364
783	8547	2355
784	8559	2344
785	8571	2333
786	8580	2322
787	8591	2311
788	8600	2299
789	8608	2288
790	8618	2277
791	8627	2265
792	8636	2254
793	8648	2243
794	8659	2233
795	8673	2222
796	8687	2212
797	8699	2202
798	8710	2191
799	8723	2180
800	8735	2170
801	8744	2158
802	8753	2147
803	8763	2136
804	8773	2125
805	8783	2114
806	8793	2103
807	8806	2092
808	8817	2081
809	8830	2071
810	8843	2060
811	8857	2050
812	8874	2041
813	8900	2033
814	8915	2023
815	8929	2013
816	8942	2003
817	8953	1992
818	8965	1981
819	8979	1971
820	8992	1960
821	9008	1950
822	9022	1940
823	9033	1929
824	9045	1918
825	9057	1907
826	9067	1896
827	9076	1885
828	9085	1874
829	9095	1862
830	9104	1851
831	9115	1840
832	9134	1831
833	9146	1820
834	9160	1810
835	9173	1799
836	9186	1788
837	9200	1778
838	9210	1767
839	9220	1756
840	9230	1745
841	9239	1733
842	9248	1722
843	9258	1711
844	9268	1700
845	9281	1689
846	9292	1678
847	9306	1668
848	9321	1657
849	9334	1647
850	9347	1636
851	9358	1625
852	9370	1614
853	9380	1603
854	9390	1592
855	9401	1581
856	9410	1570
857	9420	1559
858	9432	1548
859	9444	1537
860	9469	1528
861	9484	1518
862	9498	1507
863	9511	1497
864	9522	1486
865	9533	1475
866	9543	1464
867	9553	1452
868	9563	1441
869	9572	1430
870	9582	1419
871	9592	1408
872	9604	1397
873	9615	1386
874	9627	1375
875	9641	1364
876	9653	1353
877	9665	1342
878	9677	1332
879	9687	1321
880	9697	1309
881	9707	1298
882	9716	1287
883	9725	1276
884	9735	1265
885	9745	1253
886	9763	1243
887	9775	1232
888	9789	1222
889	9801	1211
890	9814	1200
891	9825	1189
892	9837	1178
893	9846	1167
894	9856	1156
895	9866	1145
896	9875	1134
897	9885	1122
898	9896	1111
899	9910	1101
900	9925	1090
901	9938	1079
902	9952	1069
903	9965	1058
904	9977	1047
905	9988	1036
906	10000	1025
907	10009	1014
908	10018	1002
909	10028	991
910	10039	980
911	10050	969
912	10063	958
913	10073	947
914	10083	936
915	10093	925
916	10103	914
917	10112	903
918	10122	892
919	10132	881
920	10142	869
921	10151	858
922	10161	847
923	10172	836
924	10181	825
925	10191	814
926	10200	803
927	10209	792
928	10219	781
929	10228	769
930	10238	758
931	10248	747
932	10257	736
933	10267	725
934	10276	714
935	10286	703
936	10297	692
937	10309	681
938	10319	670
939	10329	659
940	10338	648
941	10349	637
942	10358	626
943	10367	615
944	10377	603
945	10387	592
946	10397	581
947	10406	570
948	10415	559
949	10425	548
950	10436	537
951	10445	526
952	10455	515
953	10465	504
954	10474	493
955	10483	482
956	10492	471
957	10501	460
958	10511	449
959	10520	438
960	10529	427
961	10540	416
962	10548	405
963	10558	394
964	10566	383
965	10576	372
966	10585	361
967	10595	350
968	10604	339
969	10613	328
