iter	Logloss
0	0.6841388258
1	0.6743262506
2	0.663269043
3	0.6541301263
4	0.6446045528
5	0.6338066309
6	0.6255222065
7	0.6176605225
8	0.608597294
9	0.5998878952
10	0.5919172036
11	0.5837807856
12	0.5778595804
13	0.5710976272
14	0.5654769784
15	0.5591541224
16	0.5539026
17	0.5489172545
18	0.5431706734
19	0.5365781571
20	0.531189192
21	0.5266509328
22	0.520872206
23	0.5154441663
24	0.5098676279
25	0.5049989005
26	0.5011890875
27	0.4969601312
28	0.4915732864
29	0.4869306768
30	0.482029425
31	0.477583968
32	0.4732851923
33	0.4703569815
34	0.4669979654
35	0.4640671041
36	0.4594833336
37	0.455309733
38	0.4516431179
39	0.4474238923
40	0.4425251395
41	0.4392235995
42	0.4371225816
43	0.4335658828
44	0.4307930617
45	0.4284520303
46	0.4250166446
47	0.4229272885
48	0.4205624034
49	0.4181140682
50	0.4151907417
51	0.4128655748
52	0.4098633797
53	0.4068137422
54	0.4042448891
55	0.4020739383
56	0.3992659046
57	0.3973415933
58	0.3950869274
59	0.3933084265
60	0.3918533515
61	0.3900550483
62	0.3879374085
63	0.386382678
64	0.3836073958
65	0.3821673902
66	0.380030251
67	0.3786857359
68	0.3770166213
69	0.3751816667
70	0.3738907277
71	0.3718213254
72	0.3696325411
73	0.3678230305
74	0.3658386685
75	0.364736893
76	0.3628321948
77	0.3615183108
78	0.3600491507
79	0.3591054154
80	0.3579118979
81	0.3565830581
82	0.3553608404
83	0.3537437874
84	0.3522651616
85	0.350910802
86	0.3491649391
87	0.3477159221
88	0.3468299279
89	0.345656705
90	0.3447663944
91	0.3436390614
92	0.3423707266
93	0.3413057162
94	0.3398244399
95	0.3384020784
96	0.3373934081
97	0.3366431906
98	0.3353769383
99	0.3340915273
100	0.3330805852
101	0.3320745653
102	0.3309855497
103	0.3302413145
104	0.3292704693
105	0.3282507809
106	0.3271948954
107	0.326662996
108	0.3263654307
109	0.3254968534
110	0.3246066943
111	0.3238942641
112	0.3231178075
113	0.322587877
114	0.3216879113
115	0.3210328436
116	0.3201920957
117	0.3194714113
118	0.3187768903
119	0.3180047501
120	0.3174789088
121	0.3168303535
122	0.3163587698
123	0.3157475852
124	0.3154379795
125	0.3148524282
126	0.3141832375
127	0.3135691943
128	0.3129331338
129	0.3125278672
130	0.3120377306
131	0.3112597217
132	0.3108217036
133	0.3101554473
134	0.3097377805
135	0.3091618465
136	0.3086571516
137	0.3080822209
138	0.307460056
139	0.3070000206
140	0.3065556604
141	0.3061140264
142	0.305600074
143	0.3050344197
144	0.3047723131
145	0.304397867
146	0.3040485051
147	0.3034793295
148	0.3030117025
149	0.3027190216
150	0.3023164811
151	0.3018633556
152	0.3016457759
153	0.3012152925
154	0.300881587
155	0.3006998824
156	0.3003224262
157	0.2999398205
158	0.2994252056
159	0.2989849535
160	0.2985997354
161	0.2983322144
162	0.2978129422
163	0.2975935262
164	0.2973213669
165	0.2968690176
166	0.2965885664
167	0.2961653149
168	0.2956336426
169	0.2951647094
170	0.2947888244
171	0.294259689
172	0.2938501628
173	0.2934000474
174	0.2931685341
175	0.292598677
176	0.2924482852
177	0.2919771559
178	0.2916071208
179	0.2914370213
180	0.2911436587
181	0.2906438861
182	0.2903376691
183	0.2899354883
184	0.2898475325
185	0.2895777208
186	0.2893995186
187	0.2892040698
188	0.2888846196
189	0.2885774371
190	0.2883559386
191	0.2881187837
192	0.2878567717
193	0.2877089356
194	0.287619825
195	0.2874913937
196	0.2872390747
197	0.286919227
198	0.2864800541
199	0.2862652194
200	0.2860070316
201	0.2853811184
202	0.2851284964
203	0.2849047072
204	0.2846780592
205	0.2845191672
206	0.2843441076
207	0.2840319082
208	0.2836204131
209	0.2830163658
210	0.282760639
211	0.2826216061
212	0.2822051699
213	0.2817885255
214	0.2816018987
215	0.2815187137
216	0.2813849437
217	0.2809412462
218	0.280595557
219	0.2804218605
220	0.280235158
221	0.2800628435
222	0.2799349423
223	0.2797404779
224	0.2792859515
225	0.2788524391
226	0.2784937629
227	0.2781698639
228	0.2778866676
229	0.2776276468
230	0.2775437045
231	0.2772928243
232	0.2771313764
233	0.2769415692
234	0.2765280674
235	0.2763236829
236	0.2761044183
237	0.2758586117
238	0.2756312065
239	0.2749978721
240	0.2748687214
241	0.274745856
242	0.2744473062
243	0.27428264
244	0.2741213058
245	0.2739383896
246	0.273544728
247	0.2733267507
248	0.27295965
249	0.2725523388
250	0.2722301625
251	0.2718864422
252	0.2717784948
253	0.2715783131
254	0.2714727889
255	0.271362494
256	0.2712257328
257	0.2708683061
258	0.2707934888
259	0.270679294
260	0.2703142379
261	0.2701338207
262	0.2699694574
263	0.2698544864
264	0.2695591361
265	0.2693520444
266	0.2692719642
267	0.2690686967
268	0.2688663
269	0.2688041289
270	0.2687741225
271	0.2685682425
272	0.2683144846
273	0.2682138258
274	0.2680007139
275	0.2678282858
276	0.2676150414
277	0.2673141063
278	0.2670905821
279	0.2669956785
280	0.2667953075
281	0.2666689208
282	0.2663940354
283	0.2660837481
284	0.2659267681
285	0.2656179386
286	0.2654737752
287	0.2651899541
288	0.2649779971
289	0.2649357987
290	0.2647763766
291	0.2647079581
292	0.2644309524
293	0.264195312
294	0.2641302823
295	0.2639838851
296	0.2638452118
297	0.2636822116
298	0.2636217444
299	0.2635554841
300	0.2633030326
301	0.2632416377
302	0.263036496
303	0.2628429782
304	0.2626838779
305	0.2625680928
306	0.2624817273
307	0.2623493961
308	0.2621419448
309	0.2620577185
310	0.2619643105
311	0.2617866384
312	0.261677839
313	0.261438223
314	0.2613236496
315	0.2611918106
316	0.2610575106
317	0.2608490747
318	0.2605354745
319	0.2604607518
320	0.26038194
321	0.2602571057
322	0.2601126773
323	0.259835558
324	0.259629091
325	0.2594202766
326	0.259356307
327	0.2591654018
328	0.2591018487
329	0.2588799337
330	0.2587735387
331	0.2587112351
332	0.2586356416
333	0.25857667
334	0.258425502
335	0.258330712
336	0.2582138857
337	0.258083069
338	0.2580264827
339	0.257879385
340	0.2578120835
341	0.2577119169
342	0.2576164265
343	0.2573000432
344	0.2572140564
345	0.2571394473
346	0.2570297771
347	0.2569789461
348	0.2568795367
349	0.2568105504
350	0.256666387
351	0.2565158248
352	0.2564619268
353	0.2563905361
354	0.2563199595
355	0.2561642857
356	0.2560606168
357	0.2558944172
358	0.2558319433
359	0.2557845956
360	0.2557107059
361	0.2556585686
362	0.2554992789
